Sector,Output Chg (%),Price Chg (%),Supply Shock,Demand Shock,Domar Weight,Leontief Mult.,Supply → GDP (%),Demand → GDP (%),Total → GDP (%)
Nursing and residential care facilities,-5.68686793992629,-10.672565342552423,0.04985697402626132,-0.24889735192368145,0.012865135628814526,1.0061503130334695,-0.007715078976869304,-0.03652649352291792,-0.044241572499787225
"Mining, except oil and gas",-11.158745883797499,-5.0,-0.02439163922531666,-0.23597909806329165,0.006508247039611672,1.7567050520475496,-0.01672991408147742,-0.02395509583279444,-0.04068500991427186
Other transportation and support activities,-5.94583726276129,9.718863676734136,-0.12691782308114782,0.022865670982825242,0.01254894616263083,2.2368373965855386,-0.0387588336290563,-0.0002747198564759326,-0.03903355348553223
Plastics and rubber products,-9.84953765746448,-2.0,-0.019398150629857922,-0.143119220718306,0.012503261414229049,1.858957877962139,-0.02670180121827631,-0.01195279198308039,-0.0386545932013567
Publishing industries (including software),-3.36660584594468,1.0,-0.018416514614861698,-0.03208257307430849,0.01809626109144191,1.2343359210588885,-0.0181379521040027,-0.02017138640408334,-0.03830933850808604
Printing and related support activities,-17.0018576222435,-3.0,-0.038007430488973995,-0.24252322027804374,0.004869972002567661,1.2046762604649919,-0.013391938969119168,-0.023099081608882185,-0.036491020578001354
Nonmetallic mineral products,-13.273146369573599,-2.0,-0.04636573184786799,-0.20961637670819427,0.006327393096302674,1.4646551843916646,-0.031357176716692525,-0.003990235257264993,-0.03534741197395752
"Electrical equipment, appliances, and components",-9.52668743231326,3.7697899251579634,-0.07580464898083267,-0.05756897507155297,0.006741549735333394,1.4534008237192497,-0.027658971357607077,-0.0020852304252340723,-0.02974420178284115
Furniture and related products,-18.096862673981,-2.55690015763589,-0.046818449119565106,-0.17637619052620057,0.004198173341906986,1.141417393552572,-0.009231108125297736,-0.01894764322175125,-0.028178751347048985
Utilities,-1.6860916460123099,6.2813537894865865,-0.09653537081511207,0.020661246744558118,0.022278189735191464,1.9332553208566507,-0.02553582646503562,-0.0010438331437990422,-0.02657965960883466
"Forestry, fishing, and related activities",-11.6175760502173,-2.0,-0.0380878802510865,-0.21362626750362165,0.0030093719156557533,1.6073230587580896,-0.02481044499042451,-0.0,-0.02481044499042451
"Federal Reserve banks, credit intermediation",-0.840763618424056,-1.8172093335152826,0.013968275243032546,-0.03218482030888709,0.04188215840920384,2.336280835553762,-0.015455737226902936,-0.0080170134901595,-0.023472750717062438
